title_kaggle,imdb_id,poster_path,wiki_link,original_title,is_adult,runtime,genres,imdb_rating,imdb_votes,story_kaggle,summary_kaggle,tagline_kaggle,actors,wins_nominations,release_date,year_of_release_int,clean_original_title,clean_title_kaggle,lifetime_collection_matched
Mere Pyare Prime Minister,tt8207768,https://upload.wikimedia.org/wikipedia/en/thumb/2/24/Mere_Pyare_Prime_Minister_poster.jpg/220px-Mere_Pyare_Prime_Minister_poster.jpg,https://en.wikipedia.org/wiki/Mere_Pyare_Prime_Minister,Mere Pyare Prime Minister,0,104,Drama,6.8,344.0,A story about four children living in a Mumbai slum in India. An eight-year old Kanhu writes a letter to the Prime Minister after a dramatic incident with his mother. A small boy has to achieve the impossible.,A story about four children living in a Mumbai slum in India. An eight-year old Kanhu writes a letter to the Prime Minister after a dramatic incident with his mother. A small boy has to achieve the impossible.,Meri Ek Arzi Sun Lo Zara,Rasika Agashe|Sonia Albizuri|Syna Anand|Adarsh Bharti|Makrand Deshpande|Om Kanojiya|Atul Kulkarni|Anjali Patil|Prasad|Nachiket Purnapatre|Niteesh Wadhwa|,,15 March 2019 (India),2018,mere pyare prime minister,mere pyare prime minister,0.39 Cr
Manikarnika: The Queen of Jhansi,tt6903440,https://upload.wikimedia.org/wikipedia/en/thumb/4/44/Manikarnika_Poster.jpg/220px-Manikarnika_Poster.jpg,https://en.wikipedia.org/wiki/Manikarnika:_The_Queen_of_Jhansi,Manikarnika: The Queen of Jhansi,0,148,Action|Biography|Drama,6.5,7361.0,Manikarnika born in Varanasi when Dixt a minister in Jhansi princely state sees her he proposes her marriage to Gangadar Rao prince of Jhansi.Sadashiv Rao plots along with British officers to conquer Jhansi as he Is promised a stake in it after conquering Jhansi.After the birth of Lakshmi and Gangadar Rao's son Sadashiv Rao sees his place in fear and poison the holy water during the naming ceremony of the child following which he passes away and also leaves Gangadar Rao on death bed.Gangadar Rao decides to adopt a son and Sadashiv Rao feels guilty of not adopting his son instead a toddler who comes running to Lakshmi Bai.After death of Gangadar Rao.The East India Company decides to conquer on Jhansi as there is no male ruler.But Lakshmi Bai decides to take the throne on herself and fight for Jhansi.,Story of Rani Lakshmibai  one of the leading figures of the Indian Rebellion of 1857 and her resistance to the British Rule.,,Kangana Ranaut|Rimi Sen|Atul Kulkarni|Nalneesh Neel|Danny Denzongpa|Mishti|Kulbhushan Kharbanda|Mohammed Zeeshan Ayyub|Anil George|Vikram Kochhar|Edward Sonnenblick|Ankita Lokhande|Richard Keep|Jishu Sengupta|,,25 January 2019 (USA),2019,manikarnika the queen of jhansi,manikarnika the queen of jhansi,92.19 Cr
Viceroy's House (film),tt4977530,https://upload.wikimedia.org/wikipedia/en/f/f3/Viceroy%27s_House_%28film%29.png,https://en.wikipedia.org/wiki/Partition:_1947,Viceroy's House,0,106,Biography|Drama|History,6.7,5993.0,New Dehli in March 1947. The huge and stately Viceroy's Palace is like a beehive. Its five hundred employees are busy preparing the coming of Lord Louis Mountbatten  who has just been appointed new (and last) viceroy of India by prime minister Clement Attlee. Mountbatten  whose difficult task consists of overseeing the transition of British India to independence  arrives at the Palace  accompanied by Edwina  his liberal-minded wife and Pamela  his eighteen-year-old daughter. Meanwhile  in the staff quarters  a love story is born between Jeet  a Hindu  and Aalia  a Muslim beauty. Things will prove difficult - not to say very difficult - both on the geopolitical and personal level.,The final Viceroy of India  Lord Mountbatten  is tasked with overseeing the transition of British India to independence  but meets with conflict as different sides clash in the face of monumental change.,Based on a true story,Hugh Bonneville|Gillian Anderson|Manish Dayal|Huma Qureshi|Michael Gambon|Om Puri|David Hayman|Simon Callow|Denzil Smith|Neeraj Kabi|Tanveer Ghani|Lily Travers|Jaz Deol|Arunoday Singh|,1 win,1 September 2017 (USA),2017,viceroys house,viceroys house,
3 Storeys,tt4552546,https://upload.wikimedia.org/wikipedia/en/thumb/6/69/3_Storeys_-_Movie_Poster.jpg/220px-3_Storeys_-_Movie_Poster.jpg,https://en.wikipedia.org/wiki/3_Storeys,3 Storeys,0,100,Drama,7.1,288.0,3 Storeys is an intriguing film full of twists and turns. Over the course of 3 acts  dark secrets and past regrets are revealed  and it becomes clear that life in this small community is not quite what it seems. Slated to release on 9th March 2018.,3 Storeys is an intriguing film full of twists and turns. Over the course of 3 acts  dark secrets and past regrets are revealed  and it becomes clear that life in this small community is ...,,Aisha Ahmed|Tarun Anand|Richa Chadha|Gopal Das|Mallhar Goenka|Sharman Joshi|Saunskruti Kher|Omkar Kulkarni|Masumeh Makhija|Himanshu Malik|Himmat Mav|Ankit Rathi|Pulkit Samrat|Renuka Shahane|,,9 March 2018 (USA),2018,3 storeys,3 storeys,3.92 Cr
Fatso!,tt1286766,https://upload.wikimedia.org/wikipedia/en/thumb/b/bc/Fatso_2012_poster.jpg/220px-Fatso_2012_poster.jpg,https://en.wikipedia.org/wiki/Fatso!,Fatso!,0,98,Comedy|Fantasy|Romance,5.7,360.0,They say that matches are made in heaven. This is one of those films where they are undone in heaven! But then again  that's the strange thing about love: just when the worst has happened  the best happens almost like the nightmare never took place  almost like love is undeniable  almost like love and hope are two faces of the same coin. Nandini (Gul Panag) fell in love once and then life happened--shattering every belief that she had about love. And then  just as she was ready to give up on love  she fell in love  all over again! Hysterical  intelligent  honest  Fatso is all about love packaged in with a calorie count!,They say that matches are made in heaven. This is one of those films where they are undone in heaven! But then again  that's the strange thing about love: just when the worst has happened  ...,A high calorie love story.,Gul Panag|Purab Kohli|Ranvir Shorey|,,4 May 2012 (India),2012,fatso,fatso,0.15 Cr
Jigariyaa,tt4010306,https://upload.wikimedia.org/wikipedia/en/thumb/8/88/Jigariyaa_the_Film.jpg/220px-Jigariyaa_the_Film.jpg,https://en.wikipedia.org/wiki/Jigariyaa,Jigariyaa,0,142,Drama,4.9,286.0,Shaamu falls in love with Raadha at first sight. As they grow close to each other  destiny takes another turn.,Shaamu falls in love with Raadha at first sight. As they grow close to each other  destiny takes another turn.,,Harshvardhan Deo|Cherry Mardia|,,10 October 2014 (India),2014,jigariyaa,jigariyaa,0.16 Cr
7 Khoon Maaf,tt1629376,https://upload.wikimedia.org/wikipedia/en/thumb/f/f9/7KhoonMaaf_poster_ver1.jpg/220px-7KhoonMaaf_poster_ver1.jpg,https://en.wikipedia.org/wiki/7_Khoon_Maaf,7 Khoon Maaf,0,137,Drama|Mystery|Thriller,6.1,5059.0,After the passing of his Pondicherry-born mentor  Susanna  Mumbai-based Dr. Arun Kumar Singh narrates his story to his wife  Nalini. With photographs from an old album that he has never shared with anyone  he informs her as to how Susanna caught him stealing; got him to quit his job & enrolled in a Panchgani school  as well as arranged for further education in St. Petersburg. While Susanna herself searched for true love and her marriages with six deceased men - including the abusive Major Edwin Rodrigies; drug-addicted and womanizer guitarist-singer Jamshed Singh Rathore; impotent and abusive Mohammad Wasiullah Khan; bigamist/spy Nicolai Vronski; Inspector Keemat Lal; and Dr. Modhusodon Tarafdar - men who influenced her life  broke her heart - and met with sudden and mysterious deaths.,Susanna's quest for love leads to a series of marriages  each ending in the mysterious death of her latest husband.,,Priyanka Chopra|Vivaan Shah|Neil Nitin Mukesh|John Abraham|Irrfan Khan|Konkona Sen Sharma|Alexander Diachenko|Shashi Malviya|Annu Kapoor|Naseeruddin Shah|Usha Uthup|Manuj Bhaskar|Harish Khanna|Ayush Tandon|,5 wins & 10 nominations,18 February 2011 (USA),2011,7 khoon maaf,7 khoon maaf,17.69 Cr
October (2018 film),tt7700730,https://upload.wikimedia.org/wikipedia/en/thumb/c/c6/October_%282018_film_poster%29.jpg/220px-October_%282018_film_poster%29.jpg,https://en.wikipedia.org/wiki/October_(2018_film),October,0,115,Drama|Romance,7.5,11125.0,Dan (Varun Dhawan) is living the life of any carefree 21 year old  revolving around a bunch of friends and fellow hotel interns who feed off each other's everyday moments  their ups and downs. Shiuli (Banita Sandhu) is one such intern at the same hotel  who at times is at a receiving end of Dan's audaciousness. Life goes on until a sudden turn of events smashes Dan and Shiuli's lives together  into a bond that's unlike any 21 year olds. The emotional connection between them goes through a metamorphoses that brings out a form of love that's unlike any other eventually leading to an internal awakening. October is not a Love Story  but rather a story about love.,A group of interns are going through the usual grind when suddenly an accident changes their lives. The protagonist can't get let go of it and becomes obsessed with it. What does it all lead to? Is it love or something else?,This is not a love story. This is a story about love.,Varun Dhawan|Banita Sandhu|Gitanjali Rao|Sahil Vedoliyaa|Isha Chaturvedi|Prateek Kapoor|Iteeva Pandey|Karamveer Kanwar|Ashish Ghosh|Rachica Oswal|,3 wins & 9 nominations,13 April 2018 (USA),2018,october,october,39.06 Cr
The Ghazi Attack,tt6299040,https://upload.wikimedia.org/wikipedia/en/thumb/e/e7/The_Ghazi_Attack_Poster.jpg/220px-The_Ghazi_Attack_Poster.jpg,https://en.wikipedia.org/wiki/The_Ghazi_Attack_(film),The Ghazi Attack,0,116,Action|Thriller|War,7.6,10332.0,In 1971  amid rising tensions between India and Pakistan over the liberation war of East Pakistan  Pakistan navy  in a top secret mission  plans an attack on Indian majestic-class aircraft carrier INS Vikrant  to gain control over the waters of Bay of Bengal. They send their best-in-class submarine PNS Ghazi  but are intercepted by an Indian submarine INS Karanj (S21). An underwater attack ensues.,A Pakistani submarine  Ghazi plans to secretly attack Vizag port. For doing so  it has to get past Indian submarine S21.,The war you did not know about,Rana Daggubati|Kay Kay Menon|Atul Kulkarni|Om Puri|Nassar|Rahul Singh|Milind Gunaji|Taapsee Pannu|,1 win & 7 nominations,17 February 2017 (USA),2017,the ghazi attack,the ghazi attack,20.3 Cr
Khwaabb,tt2429930,https://upload.wikimedia.org/wikipedia/en/thumb/3/3d/Khwaabb_poster.jpg/220px-Khwaabb_poster.jpg,https://en.wikipedia.org/wiki/Khwaabb,Khwaabb,0,90,Drama|Romance|Sport,5.6,62.0,Khwaab is a story about the birth of a dream  of ambition and the fierce passion to achieve that dream amidst unceasing tribulations. This intense personal journey is set in the larger  bureaucratic world of Indian sports. It illustrates why a country with a population of 1.2 billion people cannot produce medal-winning athletes. How sheer  raw talent gets wasted or destroyed by corrupt politicians and power hungry bureaucrats. Khwaab is the story of one such athlete and her struggle to succeed in the cut-throat  debauched and mired world of Indian sports.,Khwaab is a story about the birth of a dream  of ambition and the fierce passion to achieve that dream amidst unceasing tribulations. This intense personal journey is set in the larger  ...,Dare To Dream...,Simer Motiani|Navdip Singh|Bajrangbali Singh|Rishi Miglani|Apexa Verma|Jeetendra Gupta|Dhirendra Gupta|Vibhav Bhisht|Abbas Ali Khan|Manoj Bakshi|,,9 May 2014 (India),2014,khwaabb,khwaabb,0.75 Cr
