imdb_id,movie_title,director_name,director_bio,inferred_gender,confidence_score
tt8207768,My Dear Prime Minister,Rakeysh Omprakash Mehra,"From Wikipedia, the free encyclopedia.  Rakeysh Omprakash Mehra (born 7 July 1963) in a Hindu Punjabi Family in New Delhi. He is an Indian filmmaker and screenwriter. He is best known for writing and directing Rang De Basanti (2006), for which he won Best Director awards at the 2006 Filmfare Awards and National Film Awards and received a BAFTA Award nomination for Best Foreign Language Film. He is also the writer and director of the films Aks (2001) and Delhi-6 (2009).

Description above from the Wikipedia article Rakeysh Omprakash Mehra, licensed under CC-BY-SA, full list of contributors on Wikipedia.",male,1.0
tt6903440,Manikarnika: The Queen of Jhansi,Kangana Ranaut,"Kangana Ranaut is an Indian film actress. She has established a career in Bollywood and is one of the highest-paid actresses in India. Ranaut is particularly known in the media for expressing her honest opinions in public and is frequently credited as one of the most fashionable Indian celebrities. She is the recipient of several awards, including three National Film Awards and Filmfare Awards in four categories.

Ranaut made her feature film debut in the 2006 thriller Gangster, for which she was awarded the Filmfare Award for Best Female Debut. She received praise for portraying emotionally intense characters in the dramas Woh Lamhe (2006), Life in a... Metro (2007) and Fashion (2008). For the last of these, she won the National Film Award for Best Supporting Actress and a Filmfare Award in the same category.

In 2015, Ranaut portrayed a dual role in Tanu Weds Manu Returns, the most successful Bollywood film featuring a female protagonist, for which she won a Filmfare Critics Award and a second consecutive National Film Award for Best Actress.",female,1.0
tt6903440,Manikarnika: The Queen of Jhansi,Radha Krishna Jagarlamudi,"Krish (born Radha Krishna Jagarlamudi) is an Indian film director, known for his works in Telugu cinema and Bollywood. He made his directorial debut in 2008 with Gamyam and followed it up with Vedam in 2010. Both films garnered widespread critical acclaim, fetching him the Nandi Award and Filmfare Award for Best Director. In 2015, he directed the period war drama film, Kanche setup in Nazi Germany, the film has garnered the National Film Award for Best Feature Film in Telugu.",male,1.0
tt4977530,Viceroy's House,Gurinder Chadha,"Gurinder Chadha, OBE, is a British film director of Indian origin. Most of her films explore the lives of Indians living in the United Kingdom. She is best known for the hit films Bhaji on the Beach (1993), Bend It Like Beckham (2002), Bride and Prejudice (2004) and Angus, Thongs and Perfect Snogging (2008).

Description above from the Wikipedia article Gurinder Chadha, licensed under CC-BY-SA, full list of contributors on Wikipedia.",female,1.0
tt4552546,3 Storeys,Arjun Mukerjee,,male,1.0
tt1286766,Fatso!,Rajat Kapoor,"Rajat Kapoor is an Indian actor, writer, screenwriter and film director. As a child, Kapoor would watch films with his family and decided to become a filmmaker at the age of 14. He mainly focused on acting at first. In 2013 he joined the theatre group Chingari in Delhi, later moving to Pune to attend the Film and Television Institute of India (FTII).",male,1.0
tt4010306,Jigariyaa,Raj Purohit,,male,1.0
tt1629376,7 Khoon Maaf,Vishal Bhardwaj,"Vishal Bhardwaj is an Indian film director, screenwriter, producer, music composer and playback singer. He is known for his work in Hindi cinema, and is the recipient of a Filmfare Award and seven National Film Awards in four categories.

Bhardwaj made his debut as a music composer with the children's film Abhay (The Fearless) (1995), and received wider recognition with his compositions in Gulzar's Maachis (1996). He received the Filmfare RD Burman Award for New Music Talent for the latter. He went on to compose music for the films Satya (1998) and Godmother (1999). For the latter, he garnered the National Film Award for Best Music Direction. Bhardwaj made his directorial debut with the children's film Makdee (2002), for which he also composed the music. He garnered critical acclaim and several accolades for writing and directing the Indian adaptations of three tragedies by William Shakespeare: Maqbool (2003) from Macbeth, Omkara (2006) from Othello, and Haider (2014) from Hamlet. He has also directed the caper thriller Kaminey, the black comedy 7 Khoon Maaf (2011), and the satire Matru Ki Bijlee Ka Mandola (2013).

In addition, Bhardwaj produces films under his banner VB Pictures. He has co-written and produced the films Ishqiya (2010), its sequel Dedh Ishqiya (2014), and the crime drama Talvar (2015), among others. He has composed the musical score for each of his directorial and production ventures, and frequently collaborates with the lyricist Gulzar. He is married to playback singer Rekha Bhardwaj.",male,1.0
tt7700730,October,Shoojit Sircar,"Shoojit Sircar is an Indian film director and producer.

He won the National Film Award for Vicky Donor in Best Popular Film Providing Wholesome Entertainment category, shared with John Abraham.  He also won the Indian Competition Special Jury Award at Osian's Cinefan Festival of Asian and Arab Cinema in 2005 for Yahaan.

He has made television commercials for Saffola, 2G, Apsara Pencils, Fair & Lovely, Maruti WagonR, Cadbury, Dove and many other brands.",male,1.0
tt6299040,The Ghazi Attack,Sankalp Reddy,,male,1.0
tt2429930,Khwaabb,Zaid Ali Khan,,male,1.0
tt11007050,#Yaaram,Ovais Khan,,male,1.0
tt5472758,Happy Bhag Jayegi,Mudassar Aziz,,male,1.0
tt6484982,Newton,Amit Masurkar,,male,1.0
tt6527426,Zero,Aanand L. Rai,"Aanand L. Rai is a Hindi film director and producer known for romantic-comedy movies Tanu Weds Manu (2011), Raanjhanaa (2013), Tanu Weds Manu: Returns (2015) and Zero (2018)",male,1.0
tt2963974,M Cream,Agneya Singh,,male,1.0
tt2963974,M Cream,Aban Raza,,female,0.6
tt2112124,Chennai Express,Rohit Shetty,"From Wikipedia, the free encyclopedia

Rohit Shetty is a film director, presenter and cinematographer. He is the son of the late actor and fight master M. B. Shetty, who acted in many Hindi and Kannada movies. He is married and has two children. He started his career at the age of 15 as an assistant director with Kuku Kohli on the film Phool Aur Kaante starring Ajay Devgn; he directed his first feature film, Zameen, as an independent director with Devgan in 2003 at the age of 29.

He is from India, from the city of Mangalore in Karnataka. He was interested in films since childhood as he belonged to a film family. At 13 or 14, he was certain that he wanted to be a director and never thought of becoming an actor.

Then he started working, first as an apprentice with Kuku Kohli during Phool Aur Kaante (Ajay Devgan's debut film that costarred Madhoo). Then he assisted him in Ek Aur Kohinoor, which was never released. He also worked with him on Suhaag (Ajay, Akshay Kumar, Karisma Kapoor), Haqeeqat (1995) (Ajay, Tabu) and Zulmi (Akshay, Twinkle Khanna).

By then, he had developed a good rapport with Ajay Devgn. After that he started working with Anees Bazmee on Pyaar To Hona Hi Tha (Ajay, Kajol), followed by Ajay's home productions, Hindustan Ki Kasam and Raju Chacha.

During the making of Pyaar To Hona Hi Tha, he knew he was ready to make his own film. When they were planning Raju Chacha, it was decided that he would make his directorial debut after Ajay Devgan, and Ajay would act in it.

Shetty is also the judge of a comedy show known as Comedy Circus.

Description above from the Wikipedia article Rohit Shetty, licensed under CC-BY-SA, full list of contributors on Wikipedia.",male,1.0
tt2172071,Student Of The Year,Karan Johar,"Karan Johar often informally referred to as KJo,  is an Indian film director, producer, screenwriter, costume designer,  actor and television personality who is primarily known for his work in  Hindi films. He is the son of Hiroo Johar and the acclaimed producer Yash Johar.

Johar made his directorial debut with the blockbuster romance Kuch Kuch Hota Hai (1998), which earned him the Filmfare Awards for Best Director and Best Screenplay. His next two films were the ensemble dramas Kabhi Khushi Kabhie Gham... (2001) and Kabhi Alvida Naa Kehna (2006), which were both very successful in the overseas market. His counter-terrorism drama My Name Is Khan (2010) earned him his second Filmfare Award for Best Director. These, along with the several successful films he has produced under the Dharma Productions banner, have established him as one of the leading director-producers in Hindi cinema.",male,1.0
tt3483646,Bewakoofiyaan,Nupur Asthana,,female,1.0
tt2359810,Raanjhanaa,Aanand L. Rai,"Aanand L. Rai is a Hindi film director and producer known for romantic-comedy movies Tanu Weds Manu (2011), Raanjhanaa (2013), Tanu Weds Manu: Returns (2015) and Zero (2018)",male,1.0
tt2402131,Kismat Love Paisa Dilli,Sanjay Khanduri,,male,1.0
tt2016894,Ek Tha Tiger,Kabir Khan,,male,1.0
tt4094820,Crazy Cukkad Family,Ritesh Menon,,male,1.0
tt3001638,Mary Kom,Omung Kumar,,male,1.0
tt3666258,Coffee Bloom,Manu Warrier,,male,1.0
tt4979082,Jai Gangaajal,Prakash Jha,"Prakash Jha (born 27 February 1952) is an Indian film producer-director-screenwriter, who is most known for his political and socio-political films such as Damul (1984), Mrityudand (1997), Gangaajal (2003), Apaharan (2005), and multi starrer hit movie Rajneeti (2010). He is also the maker of National Film Award-winning documentaries like, Faces After The Storm (1984) and Sonal (2002).",male,1.0
tt4979082,Jai Gangaajal,Sham Kaushal,,male,1.0
tt2255934,Aiyyaa,Sachin Kundalkar,,male,1.0
tt7881524,Arjun Patiala,Rohit Jugraj,,male,1.0
tt2372678,2 States,Abhishek Varman,,male,1.0
tt2171454,Zila Ghaziabad,Anand Kumar,,male,1.0
tt4500734,Ek Paheli Leela,Bobby Khan,"Bobby Khan is a writer and actor, known for 1:13:7 Ek Tera Saath (2016), Shadow (2009) and Direct Ishq (2016).",male,1.0
tt5240748,Brahman Naman,Qaushiq Mukherjee,"Qaushiq Mukherjee (popularly known as Q) is an Indian film director known for his controversial cult film Gandu.  Mukherjee grew up in Kolkata and was educated at South Point High School. Then he did his Hons in arts from Calcutta University. He worked in advertising for twelve years in India, Maldives and Sri Lanka. He is the founder and CEO of film production company, Overdose Joint.",male,1.0
tt2556308,Holiday,A.R. Murugadoss,"A.R. Murugadoss is an Indian film director, producer and screenwriter.

A.R. Murugadoss began to think of becoming a story writer. At Bharathidasan University he started to write sketch comedies and acted in them. After college he tried to join the Madras Film Institute,  but was rejected. Nevertheless, Murugadoss stayed in Chennai in  multiple functions. First he became an assistant writer of P. Kalaimani  and wrote dialogues for the Tamil film Madurai Meenakshi. He became assistant director of Ratchagan (1997) for half of the film and continued as assistant script director for the Telugu film Kalusukundam Ra. Murugadoss then worked with S. J. Surya for the film Kushi.

S. J. Suryah recommended Murugadoss to Ajith Kumar for directing his debut film, Dheena.",male,1.0
tt2976172,Sixteen,Raj Purohit,,male,1.0
tt3495030,Dum Laga Ke Haisha,Sharat Katariya,,male,1.0
tt2224317,Lootera,Vikramaditya Motwane,"Vikramaditya Motwane is an Indian film director, and screenwriter for films like Dev.D (2009) and Dhan Dhana Dhan Goal (2007). His directorial debut Udaan (2010) was selected to compete in the 'Un Certain Regard’ category at the 2010 Cannes Film Festival and also won seven Filmfare awards.",male,1.0
tt7469726,Shaadi Mein Zaroor Aana,Ratnaa Sinha,,female,1.0
tt1806913,Golmaal Again,Rohit Shetty,"From Wikipedia, the free encyclopedia

Rohit Shetty is a film director, presenter and cinematographer. He is the son of the late actor and fight master M. B. Shetty, who acted in many Hindi and Kannada movies. He is married and has two children. He started his career at the age of 15 as an assistant director with Kuku Kohli on the film Phool Aur Kaante starring Ajay Devgn; he directed his first feature film, Zameen, as an independent director with Devgan in 2003 at the age of 29.

He is from India, from the city of Mangalore in Karnataka. He was interested in films since childhood as he belonged to a film family. At 13 or 14, he was certain that he wanted to be a director and never thought of becoming an actor.

Then he started working, first as an apprentice with Kuku Kohli during Phool Aur Kaante (Ajay Devgan's debut film that costarred Madhoo). Then he assisted him in Ek Aur Kohinoor, which was never released. He also worked with him on Suhaag (Ajay, Akshay Kumar, Karisma Kapoor), Haqeeqat (1995) (Ajay, Tabu) and Zulmi (Akshay, Twinkle Khanna).

By then, he had developed a good rapport with Ajay Devgn. After that he started working with Anees Bazmee on Pyaar To Hona Hi Tha (Ajay, Kajol), followed by Ajay's home productions, Hindustan Ki Kasam and Raju Chacha.

During the making of Pyaar To Hona Hi Tha, he knew he was ready to make his own film. When they were planning Raju Chacha, it was decided that he would make his directorial debut after Ajay Devgan, and Ajay would act in it.

Shetty is also the judge of a comedy show known as Comedy Circus.

Description above from the Wikipedia article Rohit Shetty, licensed under CC-BY-SA, full list of contributors on Wikipedia.",male,1.0
tt7274806,Kaashi in Search of Ganga,Dhiraj Kumar,,male,1.0
tt2203308,Aashiqui 2,Mohit Suri,"Mohit Suri is an Indian film director, most known for his films, Kalyug (2005) and Awarapan (2007). He has directed 3 quasi-sequels Raaz - The Mystery Continues (2009), Murder 2 (2011) and Aashiqui 2 (2013) and Ek Villain (2014), all of these proved to be commercial successes.",male,1.0
tt1954598,Ladies VS. Ricky Bahl,Maneesh Sharma,,male,1.0
tt7743400,Jhalki,Brahmanand S. Singh,,male,1.0
tt8110330,Dil Bechara,Mukesh Chhabra,"Mukesh Chhabra is a Mumbai-based casting director, acting workshop director and actor who has cast several actors for movies including director Vikas Bahl's Chillar Party, Anurag Kashyap's Gangs of Wasseypur, Abhishek Kapoor's Kai Po Che and Nikhil Advani's D-Day.

Chhabra graduated from Delhi University with an acting diploma from the Shri Ram Centre for Performing Arts. He completed a six-year acting and teaching stint with the ‘Theatre in Education’ Company (TIE) affiliated with the National School of Drama.(NSD)

Chhabra came to Mumbai in 2007 and worked as an Assistant Casting Director before setting up his own casting company. His first film as independent casting director was the small budget film Chintuji. His casting for the film Chillar Party won him accolades based on which director Anurag Kashyap engaged him for the casting of his crime thriller Gangs of Wasseypur and also its sequel.

Subsequently, Chhabra did the casting for films of different genres like Kai Po Che, Shahid, Chennai Express, Jai Ho, Hasee To Phasee, Mastram and D-day. Apart from films, he's also done casting for TVCs. In his career, Chhabra has employed several unconventional casting methods. For example, he spotted the budding actor Irfan Khan, who played the character 'Fatka' in the film Chillar Party, on the streets of Mumbai. Chhabra's democratic style of auditioning has previously invited nuisance value from potential actors.

Actor Rajkumar Yadav (now Rajkumar Rao) was chosen to play one of the leads for the film Kai Po Che only on Chhabra's insistence. Rao's talent in the film won him critical acclaim and later Chhabra cast him in Shahid as the leading man.",male,1.0
tt10324144,Article 15,Anubhav Sinha,"Anubhav Sinha is an Indian film director, producer and screenwriter who works in Hindi films. He is notable for movies like Ra.One, Tum Bin, Dus, Mulk, Article 15, Thappad and Bheed.",male,1.0
tt2727028,Total Siyapaa,Eeshwar Nivas,,male,1.0
tt2357926,Ramaiya Vastavaiya,Prabhu Deva,"Prabhu Deva is an Indian dance choreographer, film director, producer and actor, who has worked in Tamil, Telugu, Hindi, Malayalam and Kannada films. In a career spanning twenty five years, he has performed and designed a wide range of dancing styles and has garnered two National Film Awards for Best Choreography.

Inspired by his father, Mugur Sundar, a choreographer for South Indian movies, and took up dancing learning Indian classical dance forms such as Bharatanatyam from Dharmaraj and Udupi Lakshminarayanan as well as Western styles. 

Prabhu Deva first appeared as a boy playing a flute in the song ""Panivizhum Iravu"" from the Tamil film Mouna Ragam (1986).[7][8] He later appeared as a background dancer for a song in the 1988 Tamil film Agni Natchathiram. Deva's first venture as a choreographer was the Kamal Haasan starrer Vetri Vizha (1989).

Beginning with a series of acting roles in the 1990s and early 2000s, Prabhu Deva featured in several commercially successful films including Kadhalan (1994), Minsara Kanavu (1997) and VIP (1997). After further critically acclaimed performances in the comedy Kaathala Kaathala (1998) and the family drama Vanathai Pola (2000), Deva then failed to recreate the success of his earlier films and his box office value began to decline and he subsequently made appearances in supporting roles and low budget Telugu language films. He then successfully ventured into direction with the 2005 Telugu film Nuvvostanante Nenoddantana, and the success of the project prompted further offers for Deva as a director. He then went on to make highly profitable films in Telugu, Hindi and Tamil languages such as Pokkiri (2007), Wanted (2009), Rowdy Rathore (2012) and Singh is Bling (2015).",male,1.0
tt7778680,Photograph,Ritesh Batra,"Ritesh Batra (born 12 June 1979) is an Indian filmmaker.

Batra is widely known for his debut feature film The Lunchbox starring Irrfan Khan, Nawazuddin Siddiqui, and Nimrat Kaur, which premiered at the Cannes Film Festival in 2013 and won Rail d’Or (Grand Golden Rail). Batra also won the Toronto Film Critics Association Award for Best First Feature Film in 2014. The Lunchbox has been called the highest grossing foreign film in America, Europe and Australia for the year of 2014 grossing over 25 Million USD/180 Crore INR.

Batra was nominated for a BAFTA Award for The Lunchbox in the category Film Not in the English language in 2015.[1]

He has directed the English-language film The Sense of an Ending, starring Jim Broadbent. The film is an adaptation of Julian Barnes’ Booker Prize-winning novel The Sense of an Ending.",male,1.0
tt1821480,Kahaani,Sujoy Ghosh,"Born on 21st May 1966 in Kolkata, Sujoy Ghosh is an Indian film writer, director, actor and producer who is well known for his critically acclaimed movies like Jhankar Beats, Kahaani, Ahalya and Badla.

The film maker started the trend of multiplex movies in Bollywood with his directorial debut Jhankaar Beats in 2003 which went on to become a superhit. Ghosh's mystery thriller film Kahaani which released in the year 2012 was his path-breaking female lead movie for which he bagged many awards including a National Film Award for Best Screenplay and a Filmfare Award for Best Director. In 2016, his film Kahaani 2 was released which is a sequel to Kahaani. With his 15 minutes long short film - Ahalya (2015), he started the trend of mainstream directors making digital short films.

His latest crime-thriller Badla, starring Amitabh Bachchan and Taapsee Pannu received a widespread acclaim and emerged as the content film of the year for its nail-biting plot that left the audiences at the edge of their seats till the very last moment. This is his second film with Amitabh Bachchan, first being Aladin and second being the 2016 thriller film Te3n which was produced by Sujoy. Alongside writing and directing films, Sujoy also acts in the Bengali mystery-thriller Satyanweshi (2013) being his debut film as an actor where he played the role of Byomkesh Bakshi.

Not many know but the popular phrase of the IPL team Kolkata Knight Riders - ""Korbo Lorbo Jeetbo Re"" was penned by Sujoy himself. With the quality driven content in his films, Sujoy Ghosh is one of the leading filmmakers in the country.",male,1.0
tt3614516,Ankhon Dekhi,Rajat Kapoor,"Rajat Kapoor is an Indian actor, writer, screenwriter and film director. As a child, Kapoor would watch films with his family and decided to become a filmmaker at the age of 14. He mainly focused on acting at first. In 2013 he joined the theatre group Chingari in Delhi, later moving to Pune to attend the Film and Television Institute of India (FTII).",male,1.0
tt4287778,Night,Onir,"Onir is an Indian film and TV director, editor, screenwriter and producer. He is best known for his film My Brother…Nikhil, based on the life of Dominic d'Souza, starring Sanjay Suri and Purab Kohli Nikhil was one of the first mainstream Hindi films to deal with AIDS and same-sex relationships.",male,1.0
tt6978268,Omertà,Hansal Mehta,,male,1.0
tt1785333,Chittagong,Bedabrata Pain,,male,1.0
tt2615584,Phata Poster Nikhla Hero,Rajkumar Santoshi,,male,1.0
tt2202086,Ab Tak Chhappan 2,Ejaz Gulab,,male,1.0
tt1667076,F.A.L.T.U.,Remo D'Souza,"Remo D'Souza (birth name Ramesh Gopi Nair), is an Indian dancer, choreographer, actor and film director.",male,1.0
